MAG,ANNEE,MOIS,CA
4222,2021,5,214997.962
5742,2021,5,196893.550
6308,2021,5,151091.300
6121,2021,5,179497.040
5111,2021,5,242958.220
5957,2021,5,161043.700
5058,2021,5,146559.300
6714,2021,5,96213.430
5340,2021,5,243368.970
4356,2021,5,100299.460
7963,2021,5,264258.410
7575,2021,5,270366.960
6955,2021,5,264277.790
5259,2021,5,135479.810
4179,2021,5,217411.370
6872,2021,5,276015.520
7569,2021,5,148719.410
4816,2021,5,174837.590
6337,2021,5,276537.270
5328,2021,5,445000.220
7111,2021,2,7452.380
6600,2021,2,141215.590
8622,2021,3,196347.070
5044,2021,3,374167.400
4966,2021,3,161563.720
4378,2021,4,166767.000
7995,2021,4,272212.990
4456,2021,4,168471.170
4962,2021,4,115577.230
5244,2021,4,142258.380
4834,2021,4,150117.670
5643,2021,4,127919.630
6240,2021,5,313206.820
8502,2021,5,150068.680
7735,2021,5,81659.900
6303,2021,5,342881.560
5547,2021,5,167279.910
5883,2021,5,191273.530
4160,2021,5,105973.440
6313,2021,5,43762.770
7073,2021,5,173523.630
6897,2021,3,177061.090
6668,2021,4,83389.300
6605,2021,5,137436.640
6233,2021,5,132341.740
6847,2021,5,159253.660
4784,2021,5,72809.230
5248,2021,5,210005.100
4334,2021,5,128729.890
4332,2021,5,139462.140
5243,2021,5,227229.210
4421,2021,5,204853.390
6160,2021,5,91216.000
5230,2021,5,141178.510
4034,2021,5,110589.190
6783,2021,5,61433.680
5034,2021,5,212726.010
7780,2021,5,64515.870
6625,2021,5,145726.420
5858,2021,5,122781.940
7840,2021,5,186809.150
6409,2021,5,97800.820
6942,2021,5,117923.050
4782,2021,5,144566.910
5421,2021,5,49845.110
8702,2021,5,102562.220
4187,2021,5,71190.040
8147,2021,5,62499.310
7891,2021,5,111862.400
7875,2021,5,39726.540
8384,2021,5,109706.630
4964,2021,5,161970.480
8269,2021,5,151528.730
4163,2021,5,50890.190
7852,2021,5,67852.910
6673,2021,5,94361.340
6545,2021,4,19951.390
7727,2021,6,292283.840
6377,2021,6,147118.400
6305,2021,6,174448.580
4788,2021,6,202330.550
5401,2021,6,255366.280
5328,2021,6,406694.400
8184,2021,6,100387.650
4835,2021,6,158085.320
8047,2021,6,351172.460
4365,2021,6,334733.730
5578,2021,6,288787.614
5003,2021,6,344739.440
6866,2021,6,326517.380
5771,2021,6,261780.250
5602,2021,6,314549.480
6897,2021,6,163474.520
8230,2021,6,610266.830
8048,2021,6,488644.490
8111,2021,6,198899.841
4209,2021,6,163096.930
5365,2021,6,259396.620
5428,2021,6,287930.810
4207,2021,6,108762.330
6369,2021,6,289294.410
5567,2021,6,150621.210
4242,2021,6,416490.870
5026,2021,6,156806.780
4245,2021,6,394719.240
5229,2021,6,567957.700
4815,2021,6,151737.360
4254,2021,6,200759.090
5484,2021,6,200970.780
4329,2021,6,139732.000
4268,2021,6,121304.970
4249,2021,6,430217.990
8674,2021,6,56773.080
5390,2021,6,180380.910
4117,2021,6,100030.640
4231,2021,6,66303.260
4771,2021,6,104722.480
4181,2021,6,120542.120
4407,2021,6,240954.890
7923,2021,6,206765.920
4976,2021,6,149322.920
6259,2021,6,205362.020
4767,2021,6,139431.730
5329,2021,6,239842.430
5018,2021,6,215710.210
4899,2021,6,134888.000
6268,2021,6,183204.070
4194,2021,6,191970.190
6331,2021,6,95888.740
5248,2021,6,216316.970
6890,2021,6,126083.934
5893,2021,6,215197.510
6265,2021,6,245249.810
4772,2021,6,116961.590
5162,2021,6,182229.620
5398,2021,6,254136.820
8367,2021,6,386497.890
5492,2021,6,304962.960
6463,2021,6,119228.230
6324,2021,6,221794.250
4239,2021,6,44877.520
5010,2021,6,166407.630
7140,2021,6,90494.530
6293,2021,6,104710.320
5879,2021,6,183620.280
4840,2021,6,186073.370
6626,2021,6,84289.020
4394,2021,6,161219.800
8615,2021,6,249251.560
4234,2021,6,205356.660
6799,2021,6,190429.880
4956,2021,6,203456.960
7444,2021,6,157925.820
4120,2021,6,231820.380
6200,2021,6,70344.120
5288,2021,6,79003.830
4820,2021,6,259850.650
5083,2021,6,199400.636
7986,2021,6,76924.520
6698,2021,6,129778.960
1029,2021,6,236673.790
7724,2021,6,81121.750
5933,2021,6,268840.740
4277,2021,6,119295.150
4816,2021,6,173351.550
7806,2021,6,242369.340
4438,2021,6,119912.860
4825,2021,6,117100.770
8045,2021,6,160354.850
7796,2021,6,58609.090
4738,2021,6,343027.950
4270,2021,6,152709.300
4965,2021,6,152954.570
6197,2021,6,104894.230
5463,2021,6,158262.760
7645,2021,6,127706.140
6672,2021,6,53890.840
4829,2021,6,196196.920
4290,2021,6,199087.620
4297,2021,6,214191.090
4228,2021,6,164027.981
4253,2021,6,22143.480
7839,2021,6,105410.400
4824,2021,6,150785.040
5058,2021,6,150250.610
6261,2021,6,125606.530
6579,2021,6,87562.820
4763,2021,6,165621.320
7093,2021,6,269478.390
4358,2021,6,165349.959
4961,2021,6,88469.300
4211,2021,6,176384.860
7142,2021,6,65915.870
6352,2021,6,123076.950
5739,2021,6,308582.910
6093,2021,6,202223.630
4170,2021,6,249798.190
8653,2021,6,126587.940
6762,2021,6,66287.560
4085,2021,6,169203.080
2125,2021,6,72335.840
4783,2021,6,126224.120
4430,2021,6,24550.320
4257,2021,6,141148.060
5502,2021,6,92691.920
6317,2021,6,41893.610
6675,2021,6,45770.550
6987,2021,6,31408.430
5550,2021,8,157015.040
4274,2021,8,234993.570
1067,2021,8,304281.320
8655,2021,8,125307.690
5956,2021,8,84543.000
6575,2021,8,16130.110
7005,2021,8,362242.980
5573,2021,8,599234.020
7341,2021,8,156106.230
6888,2021,8,186879.920
5927,2021,8,142563.950
5089,2021,8,249809.530
7729,2021,8,74120.820
5483,2021,8,326610.770
8649,2021,8,69917.370
6339,2021,8,137566.750
4605,2021,8,237932.870
6863,2021,8,74354.360
5229,2021,8,519646.770
4793,2021,8,66596.150
5022,2021,8,248631.373
5017,2021,8,343145.060
6264,2021,8,205461.810
4134,2021,8,91965.380
4964,2021,8,153074.240
5874,2021,8,181300.100
5401,2021,8,194044.460
4187,2021,8,61353.370
6939,2021,8,122764.360
6088,2021,8,90068.540
4070,2021,8,317691.730
4768,2021,8,140824.640
5957,2021,8,72952.190
5697,2021,8,131428.210
5516,2021,8,166449.140
4115,2021,8,133831.540
8283,2021,8,105972.790
6147,2021,8,167874.350
5756,2021,8,249419.200
6291,2021,8,120441.890
8034,2021,8,133048.800
6106,2021,8,183983.640
6890,2021,8,96622.911
4267,2021,8,141201.220
5663,2021,8,136540.680
6700,2021,8,169155.930
7083,2021,8,136112.130
6187,2021,8,69664.820
4231,2021,8,56378.030
8206,2021,8,291607.497
5578,2021,8,237209.894
6321,2021,8,186190.140
